"","Key","Value","freq"
"1","'' altman","said",2
"2","'' and","''",2
"3","'' he","said",57
"4","'' one","was",2
"5","'' she","said",8
"6","'' smith","said",2
"7","'' walters","said",2
"8","''transformers dark","of",2
"9","' '","for",2
"10","' a","dude",2
"11","' and","i",20
"12","' because","i",2
"13","' but","i",7
"14","' for","the",2
"15","' he","said",58
"16","' i","said",4
"17","' if","i",2
"18","' imperial","stout",5
"19","' is","a",2
"20","' it","was",4
"21","' or","'this",2
"22","' reynolds","quoted",2
"23","' s","and",43
"24","' said","chandler",2
"25","' she","said",23
"26","' so","i",3
"27","' spx","pro",2
"28","' that","was",6
"29","' that's","what",2
"30","' then","i",3
"31","' woodson","said",2
"32","'blue and","white'",3
"33","'cause her","only",2
"34","'do what","is",2
"35","'double dip'","recession",2
"36","'em know","that",2
"37","'headin' for","the",2
"38","'health and","safety'",2
"39","'how do","you",2
"40","'i've got","you",2
"41","'i don't","know",2
"42","'if you","have",2
"43","'is this","a",2
"44","'jeffrey bernard","is",2
"45","'n' roll","camp",2
"46","'n sassy","stamps",2
"47","'oh my","god",2
"48","'oh no","no",2
"49","'oh the","war",2
"50","'s 's","and",2
"51","'s and","'s",15
"52","'s for","the",2
"53","'s iron","man",2
"54","'s new","single",2
"55","'s sporting","goods",2
"56","'s was","the",2
"57","'scottish beeswax","cotton'",2
"58","'silk color","palette",2
"59","'so if","i",2
"60","'tell me","a",2
"61","'the big","'",2
"62","'the shabby","tea",2
"63","'there is","no",2
"64","'this is","the",2
"65","'tis some","visitor",2
"66","'tis the","season",2
"67","'we're going","to",2
"68","'well it's","not",2
"69","'what are","you",4
"70","'what do","you",2
"71","'what we","know",2
"72","'who is","this",2
"73","'why didn't","i",2
"74","'why does","it",2
"75","'you da","one'",2
"76","'you don't","see",2
"77","'you know","what",6
"78","a's and","the",2
"79","a's manager","bob",2
"80","a 'double","dip'",2
"81","a a","year",4
"82","a about","anything",2
"83","a acre","site",5
"84","a all","time",2
"85","a allotment","of",2
"86","a am","freak",2
"87","a and","a",11
"88","a ap","rocky",2
"89","a ask","me",2
"90","a at","the",2
"91","a awsome","account",2
"92","a b","inbev",7
"93","a baby","and",14
"94","a babysitter","for",2
"95","a bachelor","of",6
"96","a bachelor's","degree",32
"97","a back","to",14
"98","a backdrop","of",4
"99","a background","check",4
"100","a backlog","of",4
"101","a backup","contract",2
"102","a bad","thing",104
"103","a badge","for",2
"104","a bag","of",86
"105","a bake","sale",2
"106","a baked","potato",2
"107","a baking","sheet",35
"108","a balance","between",11
"109","a balanced","budget",28
"110","a bald","eagle",4
"111","a bale","of",2
"112","a ball","and",10
"113","a ballot","measure",2
"114","a baltimore","sun",2
"115","a ban","on",22
"116","a banana","at",2
"117","a band","of",15
"118","a bandstand","with",2
"119","a bank","of",6
"120","a banking","envelope",2
"121","a bankruptcy","filing",5
"122","a banner","year",2
"123","a bar","and",6
"124","a barber","shop",2
"125","a bare","bones",2
"126","a barely","audible",2
"127","a bargain","for",2
"128","a bargaining","chip",2
"129","a barrage","of",12
"130","a barrel","of",3
"131","a barrier","to",6
"132","a base","of",4
"133","a baseball","bat",18
"134","a bases","loaded",7
"135","a basic","human",2
"136","a basis","for",4
"137","a basket","of",10
"138","a basketball","team",4
"139","a bat","that",2
"140","a batch","of",39
"141","a bath","and",4
"142","a bathroom","and",4
"143","a batter","and",2
"144","a battery","of",4
"145","a battle","of",4
"146","a bay","area",4
"147","a bb","gun",2
"148","a bcs","bowl",2
